p,q,pumps,tills,trucks,averageProfit,averageLoss
0.01,0.03,1,4,false,519.00,978.712
0.01,0.03,2,1,false,843.36,738.995
0.01,0.03,2,2,false,886.20,729.882
0.01,0.03,2,4,false,846.36,657.103
0.01,0.03,4,1,false,940.68,580.875
0.01,0.03,4,2,false,990.48,619.273
0.01,0.03,4,4,false,969.72,608.821
0.01,0.04,1,1,false,552.72,1353.061
0.01,0.04,1,2,false,566.88,1415.911
0.01,0.04,1,4,false,575.76,1471.098
0.01,0.04,2,1,false,958.92,1043.084
0.01,0.04,2,2,false,996.96,1009.933
0.01,0.04,2,4,false,980.04,1005.976
0.01,0.04,4,1,false,1192.80,850.831
0.01,0.04,4,2,false,1305.96,822.108
0.01,0.04,4,4,false,1249.56,782.142
0.01,0.05,1,1,false,592.32,1908.365
0.01,0.05,1,2,false,569.28,1674.359
0.01,0.05,1,4,false,587.40,1783.527
0.01,0.05,2,1,false,1034.88,1362.957
0.01,0.05,2,2,false,1120.32,1449.514
0.01,0.05,2,4,false,1133.88,1377.858
0.01,0.05,4,1,false,1257.96,957.033
0.01,0.05,4,2,false,1435.68,938.35
0.01,0.05,4,4,false,1525.68,1013.644
0.02,0.01,1,1,false,420.60,631.389
0.02,0.01,1,2,false,434.76,660.10
0.02,0.01,1,4,false,441.24,608.19
0.02,0.01,2,1,false,641.64,460.571
0.02,0.01,2,2,false,645.72,400.851
0.02,0.01,2,4,false,679.68,436.94
0.02,0.01,4,1,false,684.96,375.597
0.02,0.01,4,2,false,740.40,421.587
0.02,0.01,4,4,false,690.60,376.682
0.02,0.02,1,1,false,489.72,987.085
0.02,0.02,1,2,false,480.12,1060.626
0.02,0.02,1,4,false,492.24,1019.357
0.02,0.02,2,1,false,806.88,663.213
0.02,0.02,2,2,false,835.32,698.725
0.02,0.02,2,4,false,816.48,649.198
0.02,0.02,4,1,false,871.80,529.083
0.02,0.02,4,2,false,911.04,527.769
0.02,0.02,4,4,false,923.88,546.117
0.02,0.03,1,1,false,538.68,1659.636
0.02,0.03,1,2,false,541.68,1381.652
0.02,0.03,1,4,false,515.88,1363.247
0.02,0.03,2,1,false,893.28,1089.868
0.02,0.03,2,2,false,932.28,891.608
0.02,0.03,2,4,false,944.76,903.607
0.02,0.03,4,1,false,1006.08,833.854
0.02,0.03,4,2,false,1218.72,725.81
0.02,0.03,4,4,false,1208.16,735.338
0.02,0.04,1,1,false,555.48,1732.749
0.02,0.04,1,2,false,544.68,1874.501
0.02,0.04,1,4,false,524.40,1737.939
0.02,0.04,2,1,false,925.08,1372.305
0.02,0.04,2,2,false,1044.72,1386.537
0.02,0.04,2,4,false,1033.68,1277.339
0.02,0.04,4,1,false,1135.56,1157.049
0.02,0.04,4,2,false,1478.16,931.072
0.02,0.04,4,4,false,1387.80,875.962
0.02,0.05,1,1,false,581.76,2310.767
0.02,0.05,1,2,false,542.52,2199.984
0.02,0.05,1,4,false,574.20,2203.591
0.02,0.05,2,1,false,973.68,1727.322
0.02,0.05,2,2,false,1082.76,1589.257
0.02,0.05,2,4,false,1101.60,1648.109
0.02,0.05,4,1,false,1192.68,1464.361
0.02,0.05,4,2,false,1526.40,966.439
0.02,0.05,4,4,false,1708.80,1076.724
0.03,0.01,1,1,false,447.96,959.71
0.03,0.01,1,2,false,462.84,1003.247
0.03,0.01,1,4,false,471.36,934.503
0.03,0.01,2,1,false,693.12,578.853
0.03,0.01,2,2,false,798.48,553.431
0.03,0.01,2,4,false,845.76,630.97
0.03,0.01,4,1,false,784.32,573.66
0.03,0.01,4,2,false,929.16,507.963
0.03,0.01,4,4,false,992.52,523.942
0.03,0.02,1,1,false,484.44,1366.391
0.03,0.02,1,2,false,471.12,1354.696
0.03,0.02,1,4,false,479.64,1312.195
0.03,0.02,2,1,false,762.96,1044.838
0.03,0.02,2,2,false,946.08,916.686
0.03,0.02,2,4,false,911.16,844.156
0.03,0.02,4,1,false,895.56,824.409
0.03,0.02,4,2,false,1216.32,693.768
0.03,0.02,4,4,false,1119.84,652.268
0.03,0.03,1,1,false,494.76,1847.933
0.03,0.03,1,2,false,494.88,1833.001
0.03,0.03,1,4,false,503.88,1782.215
0.03,0.03,2,1,false,823.92,1427.536
0.03,0.03,2,2,false,979.20,1232.354
0.03,0.03,2,4,false,989.40,1214.536
0.03,0.03,4,1,false,929.28,1207.172
0.03,0.03,4,2,false,1399.44,840.929
0.03,0.03,4,4,false,1376.40,818.63
0.03,0.04,1,1,false,524.28,2044.824
0.03,0.04,1,2,false,514.80,2080.797
0.03,0.04,1,4,false,514.68,2168.579
0.03,0.04,2,1,false,861.72,1688.88
0.03,0.04,2,2,false,1065.60,1655.69
0.03,0.04,2,4,false,1038.72,1706.524
0.03,0.04,4,1,false,1026.60,1518.413
0.03,0.04,4,2,false,1592.88,1106.902
0.03,0.04,4,4,false,1629.12,1076.511
0.03,0.05,1,1,false,523.80,2617.619
0.03,0.05,1,2,false,527.16,2650.931
0.03,0.05,1,4,false,520.20,2620.816
0.03,0.05,2,1,false,880.08,2118.092
0.03,0.05,2,2,false,1066.92,1932.083
0.03,0.05,2,4,false,1077.24,2007.962
0.03,0.05,4,1,false,1027.44,2038.332
0.03,0.05,4,2,false,1790.28,1405.334
0.03,0.05,4,4,false,1783.56,1197.872
0.04,0.01,1,1,false,461.52,1303.629
0.04,0.01,1,2,false,461.16,1296.338
0.04,0.01,1,4,false,462.72,1164.013
0.04,0.01,2,1,false,734.52,992.806
0.04,0.01,2,2,false,894.12,749.90
0.04,0.01,2,4,false,882.48,779.205
0.04,0.01,4,1,false,776.64,932.317
0.04,0.01,4,2,false,1171.56,610.044
0.04,0.01,4,4,false,1112.04,570.066
0.04,0.02,1,1,false,472.44,1612.684
0.04,0.02,1,2,false,483.84,1637.121
0.04,0.02,1,4,false,479.16,1772.414
0.04,0.02,2,1,false,740.52,1316.706
0.04,0.02,2,2,false,952.08,1161.308
0.04,0.02,2,4,false,952.68,1117.034
0.04,0.02,4,1,false,825.24,1167.451
0.04,0.02,4,2,false,1324.68,758.677
0.04,0.02,4,4,false,1420.32,814.068
0.04,0.03,1,1,false,509.52,2132.273
0.04,0.03,1,2,false,489.60,2113.388
0.04,0.03,1,4,false,493.32,2173.326
0.04,0.03,2,1,false,776.52,1745.645
0.04,0.03,2,2,false,951.84,1536.688
0.04,0.03,2,4,false,993.00,1559.211
0.04,0.03,4,1,false,853.44,1648.772
0.04,0.03,4,2,false,1498.08,1000.223
0.04,0.03,4,4,false,1669.08,1009.189
0.04,0.04,1,1,false,513.84,2615.722
0.04,0.04,1,2,false,504.24,2569.316
0.04,0.04,1,4,false,498.36,2385.187
0.04,0.04,2,1,false,801.12,2152.932
0.04,0.04,2,2,false,1032.96,1940.248
0.04,0.04,2,4,false,1017.84,1975.811
0.04,0.04,4,1,false,876.12,1923.078
0.04,0.04,4,2,false,1698.72,1270.069
0.04,0.04,4,4,false,1757.52,1162.336
0.04,0.05,1,1,false,502.80,2911.604
0.04,0.05,1,2,false,490.92,2792.048
0.04,0.05,1,4,false,499.08,2968.803
0.04,0.05,2,1,false,824.64,2606.356
0.04,0.05,2,2,false,1051.20,2330.837
0.04,0.05,2,4,false,1047.12,2306.569
0.04,0.05,4,1,false,933.36,2488.48
0.04,0.05,4,2,false,1778.40,1605.845
0.04,0.05,4,4,false,1945.08,1361.812
0.05,0.01,1,1,false,471.36,1522.005
0.05,0.01,1,2,false,466.80,1607.958
0.05,0.01,1,4,false,452.04,1593.818
0.05,0.01,2,1,false,696.00,1294.815
0.05,0.01,2,2,false,923.52,1136.783
0.05,0.01,2,4,false,907.32,1049.489
0.05,0.01,4,1,false,744.84,1179.303
0.05,0.01,4,2,false,1257.84,690.503
0.05,0.01,4,4,false,1315.92,686.035
0.05,0.02,1,1,false,475.32,2118.44
0.05,0.02,1,2,false,473.04,2000.889
0.05,0.02,1,4,false,478.32,2023.536
0.05,0.02,2,1,false,724.32,1618.304
0.05,0.02,2,2,false,969.96,1500.561
0.05,0.02,2,4,false,959.52,1438.769
0.05,0.02,4,1,false,745.68,1653.044
0.05,0.02,4,2,false,1472.40,978.811
0.05,0.02,4,4,false,1553.76,864.968
0.05,0.03,1,1,false,477.84,2438.454
0.05,0.03,1,2,false,481.44,2473.271
0.05,0.03,1,4,false,491.16,2506.714
0.05,0.03,2,1,false,741.72,2251.857
0.05,0.03,2,2,false,986.88,2106.213
0.05,0.03,2,4,false,971.52,1981.94
0.05,0.03,4,1,false,799.08,2062.678
0.05,0.03,4,2,false,1595.04,1252.987
0.05,0.03,4,4,false,1778.88,1166.865
0.05,0.04,1,1,false,482.04,2862.209
0.05,0.04,1,2,false,501.12,2801.141
0.05,0.04,1,4,false,493.20,2906.805
0.05,0.04,2,1,false,760.08,2414.298
0.05,0.04,2,2,false,983.76,2338.696
0.05,0.04,2,4,false,972.96,2236.195
0.05,0.04,4,1,false,828.12,2373.998
0.05,0.04,4,2,false,1631.16,1575.535
0.05,0.04,4,4,false,1902.48,1343.916
0.05,0.05,1,1,false,502.08,3250.302
0.05,0.05,1,2,false,504.00,3228.349
0.05,0.05,1,4,false,493.80,3362.843
0.05,0.05,2,1,false,791.76,2785.432
0.05,0.05,2,2,false,1029.12,2694.123
0.05,0.05,2,4,false,1014.24,2732.125
0.05,0.05,4,1,false,830.88,2854.019
0.05,0.05,4,2,false,1707.00,1990.407
0.05,0.05,4,4,false,2019.72,1617.80
